airline__airline_Air India,airline__airline_Indigo,airline__airline_Jet Airways,airline__airline_Multiple Carriers,airline__airline_other,doj__date_of_journey_month,doj__date_of_journey_week,doj__date_of_journey_day_of_week,doj__date_of_journey_day_of_year,location__source,location__destination,location__source_is_north,location__destination_is_north,time__dep_time_hour,time__dep_time_minute,time__arrival_time_hour,time__arrival_time_minute,time__dep_time_part_of_day,time__arrival_time_part_of_day,duration__duration_rbg_25,duration__duration_rbg_50,duration__duration_rbg_75,duration__duration_cat,duration__duration,stops__total_stops,stops__is_direct_flight,info__additional_info_In-flight meal not included,info__additional_info_No Info,info__additional_info_Other,info__additional_info,price
0.0,0.0,1.0,0.0,0.0,0.0,0.17647058823529405,0.5,0.1694915254237288,-0.8579302780061735,-0.7364841788678915,0,1,0.34782608695652173,1.0,0.8260869565217391,0.18181818181818182,1.0,0.6673346693386772,-0.36426219153366024,-0.10797557698615451,-0.10779856245522214,2.0,-0.03391591517927909,1.0,0,1.0,0.0,0.0,1,7832
0.0,0.0,1.0,0.0,0.0,0.0,0.23529411764705876,0.3333333333333333,0.22033898305084743,1.0654183331956164,1.0616943706377096,1,0,0.7391304347826086,0.5454545454545454,0.17391304347826086,0.45454545454545453,0.20268514508445212,0.9529058116232465,-0.36426219153366024,-0.10797557698615451,-0.10779856245522214,2.0,0.046421811262301285,1.0,0,1.0,0.0,0.0,1,6540
0.0,0.0,0.0,0.0,1.0,0.0,0.05882352941176472,0.8333333333333333,0.06779661016949157,-0.8579302780061735,-0.7364841788678915,0,1,0.4782608695652174,0.7272727272727273,0.6086956521739131,0.6363636363636364,1.0,0.0,2.373007623092956,-0.10797557698615451,-0.10779856245522214,0.0,-0.9176309060366632,0.0,1,0.0,1.0,0.0,0,7305
1.0,0.0,0.0,0.0,0.0,1.0,0.8823529411764705,0.3333333333333333,0.8728813559322035,-0.20392752453481047,-0.22435077863624375,1,0,0.3913043478260869,0.45454545454545453,0.7826086956521738,0.5454545454545454,1.0,0.6673346693386772,-0.36426219153366024,-0.10797557698615451,-0.10779856245522214,2.0,-0.17450693645204476,1.0,0,0.0,1.0,0.0,0,8366
0.0,0.0,1.0,0.0,0.0,0.0,0.11764705882352944,0.16666666666666666,0.09322033898305082,-0.8579302780061735,-0.7364841788678915,0,1,0.9565217391304348,1.0,0.30434782608695654,0.7272727272727273,0.17410134257254217,0.9529058116232465,-0.36426219153366024,-0.10797507113605247,-0.10779856245522214,2.0,-0.21467579967283493,1.0,0,1.0,0.0,0.0,1,11087
0.0,0.0,1.0,0.0,0.0,0.33333333333333326,0.4117647058823529,1.0,0.43220338983050854,-0.8579302780061735,-1.8388951667344635,0,1,0.7826086956521738,1.0,0.9565217391304348,0.0,0.20268514508445212,1.0,-0.3642621799919354,-0.10797557698615451,-0.10779856245522214,1.0,-0.8975464744262681,0.0,1,1.0,0.0,0.0,1,4544
0.0,0.0,1.0,0.0,0.0,0.33333333333333326,0.2941176470588235,0.0,0.2627118644067796,-0.20392752453481047,-0.22435077863624375,1,0,0.7826086956521738,1.0,0.17391304347826086,0.7272727272727273,0.20268514508445212,0.9529058116232465,-0.36426219153366024,-0.10797557698615451,-0.10779856245522214,2.0,-0.09416921001046437,1.0,0,1.0,0.0,0.0,1,7064
0.0,0.0,0.0,0.0,1.0,1.0,0.8823529411764705,0.8333333333333333,0.8983050847457628,-1.8921912797849618,-0.7364841788678915,1,0,0.21739130434782608,0.8181818181818181,0.30434782608695654,0.2727272727272727,1.0,0.9529058116232465,-0.36426219153366024,-0.10797557698615451,-0.10779856245522214,0.0,-1.0883485747250214,0.0,1,0.0,0.0,1.0,1,2647
0.0,0.0,0.0,1.0,0.0,1.0,0.823529411764706,1.0,0.847457627118644,1.0654183331956164,1.0616943706377096,1,0,0.30434782608695654,0.0,0.8260869565217391,0.0,1.0,0.6673346693386772,-0.36426219153366024,-0.10797557698615451,-0.10779856245522214,2.0,0.17697061672986938,1.0,0,0.0,1.0,0.0,0,12192
0.0,0.0,1.0,0.0,0.0,0.6666666666666665,0.5882352941176471,0.5,0.5847457627118644,1.0654183331956164,1.0616943706377096,1,0,1.0,0.09090909090909091,0.17391304347826086,0.45454545454545453,0.17410134257254217,0.9529058116232465,-0.36426219153366024,-0.10797557698615451,-0.10779856245522214,2.0,2.2657515042109595,2.0,0,0.0,1.0,0.0,0,15129
